16:35:19: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup_worker.py | countup_worker | 40] Logger initialized
16:35:19: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:20: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:20: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:20: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:20: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:20: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:20: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:20: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:21: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:21: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:21: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:21: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:21: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:26: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:26: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:26: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:26: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:26: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:27: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:27: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:27: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:27: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:27: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
16:35:28: [DEBUG] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\documentation\multiprocess_example\countup\countup.py | run_countup | 32] Run
