15:15:03: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 45] Logger initialized
15:15:04: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:04: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:07: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:08: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:08: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:09: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:09: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:11: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:12: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:13: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:14: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:15: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:16: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:17: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:18: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:19: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 76] Received a valid command
15:15:22: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\command_drone.py | main | 83] Passed!
