15:15:04: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 55] Logger initialized
15:15:04: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 4.0) m/s
15:15:04: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGE_ALTITUDE: 1
15:15:04: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 1.0) m/s
15:15:04: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGE_ALTITUDE: -1
15:15:05: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 0.6666666666666666) m/s
15:15:05: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: ON_TARGET
15:15:05: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 0.5) m/s
15:15:05: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: ON_TARGET
15:15:06: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 0.4) m/s
15:15:06: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: ON_TARGET
15:15:06: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 0.3333333333333333) m/s
15:15:06: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: ON_TARGET
15:15:07: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 0.0, 0.2857142857142857) m/s
15:15:07: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: ON_TARGET
15:15:07: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 2.5, 0.25) m/s
15:15:07: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 63.43494882292201
15:15:08: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222) m/s
15:15:08: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 90.0
15:15:08: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (0.0, 6.0, 0.2) m/s
15:15:08: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 116.56505117707799
15:15:09: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (1.8181818181818181, 5.454545454545454, 0.18181818181818182) m/s
15:15:09: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 45.0
15:15:09: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (3.3333333333333335, 5.0, 0.16666666666666666) m/s
15:15:09: [DEBUG] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 86] Command status: CHANGING_YAW: 63.43494882292201
15:15:10: [INFO] [C:\Users\Daniel Kwan\autonomy-bootcamp-2023\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 114] Average velocity: (4.615384615384615, 4.615384615384615, 0.15384615384615385) m/s
