18:26:45: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 53] Logger initialized
18:26:45: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=4.00
18:26:46: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=1.00
18:26:46: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=0.67
18:26:47: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=0.50
18:26:47: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=0.40
18:26:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=0.33
18:26:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=0.29
18:26:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=2.50, z=0.25
18:26:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=4.44, z=0.22
18:26:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=6.00, z=0.20
18:26:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=1.82, y=5.45, z=0.18
18:26:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=3.33, y=5.00, z=0.17
18:26:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=4.62, y=4.62, z=0.15
18:26:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=4.29, y=2.86, z=0.14
18:26:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=4.00, y=1.33, z=0.13
18:26:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=3.75, y=0.00, z=0.12
18:26:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=2.35, y=0.00, z=0.12
18:26:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=1.11, y=0.00, z=0.11
18:26:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=0.00, z=0.11
18:26:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=1.00, z=0.10
18:26:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=1.90, z=0.10
18:26:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.00, y=2.73, z=0.09
18:26:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 87] Average Velocity: x=0.87, y=2.61, z=0.09
