00:44:15: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 50] Logger initialized
00:44:15: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 4.00)  m/s
00:44:16: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 1.00)  m/s
00:44:16: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 0.67)  m/s
00:44:17: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 0.50)  m/s
00:44:17: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 0.40)  m/s
00:44:18: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 0.33)  m/s
00:44:18: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 0.00, 0.29)  m/s
00:44:19: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 2.50, 0.25)  m/s
00:44:19: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 4.44, 0.22)  m/s
00:44:20: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run_generate_command | 93] Average velocity: (0.00, 6.00, 0.20)  m/s
