19:02:59: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 58] Logger initialized
19:02:59: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 4.00)
19:02:59: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 1.00)
19:03:00: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.67)
19:03:00: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.50)
19:03:01: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.40)
19:03:01: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.33)
19:03:02: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.29)
19:03:02: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 2.50, 0.25)
19:03:03: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 4.44, 0.22)
19:03:03: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 6.00, 0.20)
19:03:04: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (1.82, 5.45, 0.18)
19:03:04: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (3.33, 5.00, 0.17)
19:03:05: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (4.62, 4.62, 0.15)
19:03:05: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (4.29, 2.86, 0.14)
19:03:06: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (4.00, 1.33, 0.13)
19:03:06: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (3.75, 0.00, 0.12)
19:03:07: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (2.35, 0.00, 0.12)
19:03:07: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (1.11, 0.00, 0.11)
19:03:08: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.11)
19:03:08: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 1.00, 0.10)
19:03:09: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 1.90, 0.10)
19:03:09: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 2.73, 0.09)
19:03:10: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.87, 2.61, 0.09)
19:03:10: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (1.67, 2.50, 0.08)
19:03:11: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (2.40, 2.40, 0.08)
19:03:11: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (2.31, 1.54, 0.08)
19:03:12: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (2.22, 0.74, 0.07)
19:03:12: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (2.14, 0.00, 0.07)
19:03:13: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (1.38, 0.00, 0.07)
19:03:13: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.67, 0.00, 0.07)
19:03:14: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.06)
