19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 4.0)
19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] TARGET Z IS OFF, MOVING -1 METERS
19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 1.0)
19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 86] TARGET Z IS OFF, MOVING 1 METERS
19:11:29: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 0.6666666666666666)
19:11:29: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 0.5)
19:11:30: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 0.4)
19:11:30: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 0.3333333333333333)
19:11:31: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 0.0, 0.2857142857142857)
19:11:31: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 2.5, 0.25)
19:11:31: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:32: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 4.444444444444445, 0.2222222222222222)
19:11:32: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 118] TARGET NOT IN SIGHT, TURNING
19:11:32: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 79] current velocity: (0.0, 6.0, 0.2)
