19:11:27: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 139] Connected!
19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE ALTITUDE: 1
19:11:28: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE ALTITUDE: -1
19:11:31: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 63.434948822922024
19:11:32: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 90.0
19:11:32: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 116.56505117707798
19:11:33: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 45.0
19:11:33: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 63.434948822921996
19:11:34: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 90.0
19:11:34: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 26.565051177077976
19:11:35: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 45.0
19:11:35: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 90.0
19:11:36: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 45.0
19:11:36: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 90.0
19:11:37: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: 135.0
19:11:37: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -26.565051177077976
19:11:38: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -45.0
19:11:38: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -90.0
19:11:39: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -45.0
19:11:39: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -90.0
19:11:40: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -135.0
19:11:40: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -63.434948822921996
19:11:41: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -90.0
19:11:41: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -116.56505117707798
19:11:42: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -45.0
19:11:42: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -63.43494882292201
19:11:43: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 81] CHANGE YAW: -90.0
19:11:44: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | stop | 65] Controller worker exiting
