14:16:24: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 47] Logger initialized
14:16:24: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 4.00)
14:16:24: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 1.00)
14:16:25: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 0.67)
14:16:25: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 0.50)
14:16:26: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 0.40)
14:16:26: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 0.33)
14:16:27: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 0.29)
14:16:27: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 2.50, 0.25)
14:16:28: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 4.44, 0.22)
14:16:28: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 6.00, 0.20)
14:16:29: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (1.82, 5.45, 0.18)
14:16:29: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (3.33, 5.00, 0.17)
14:16:30: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (4.62, 4.62, 0.15)
14:16:30: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (4.29, 2.86, 0.14)
14:16:31: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (4.00, 1.33, 0.13)
14:16:31: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (3.75, 0.00, 0.12)
14:16:32: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (2.35, 0.00, 0.12)
14:16:32: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (1.11, 0.00, 0.11)
14:16:33: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 0.11)
14:16:33: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 1.00, 0.10)
14:16:34: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 1.90, 0.10)
14:16:34: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 2.73, 0.09)
14:16:35: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.87, 2.61, 0.09)
14:16:35: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (1.67, 2.50, 0.08)
14:16:36: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (2.40, 2.40, 0.08)
14:16:36: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (2.31, 1.54, 0.08)
14:16:37: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (2.22, 0.74, 0.07)
14:16:37: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (2.14, 0.00, 0.07)
14:16:38: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (1.38, 0.00, 0.07)
14:16:38: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.67, 0.00, 0.07)
14:16:39: [INFO] [C:\Users\1makk\OneDrive\Documents\JavaProjects\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 102] Average velocity so far: (0.00, 0.00, 0.06)
