00:29:13: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 46] Logger initialized
00:29:13: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:14: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:15: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:16: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:17: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:18: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:19: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:20: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:21: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:22: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:23: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:25: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:26: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:26: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:27: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:28: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:29: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:30: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:31: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:32: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 77] Received heartbeat from drone
00:29:33: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
00:29:34: [WARNING] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run_receive_heartbeat | 66] Did not receive heartbeat from drone
