17:16:18: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 48] Logger initialized
17:16:18: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:19: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:20: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:21: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:22: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:23: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:24: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:25: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:26: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:27: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
17:16:28: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 78] Sent heartbeat
