21:21:48: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 40] Logger initialized
21:21:49: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:50: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:51: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:52: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:53: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:54: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:55: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:56: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:57: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:58: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 72] Drone: Recieved heartbeat!
21:21:59: [INFO] [C:\dev\autonomy-bootcamp-2025-p2\tests\integration\mock_drones\heartbeat_sender_drone.py | main | 81] Passed!
