01:20:50: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 51] Logger initialized
01:20:50: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 64] Command created
01:20:50: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 4.00) m/s
01:20:50: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 1.00) m/s
01:20:51: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 0.67) m/s
01:20:51: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 0.50) m/s
01:20:52: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 0.40) m/s
01:20:52: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 0.33) m/s
01:20:53: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 0.29) m/s
01:20:53: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 2.50, 0.25) m/s
01:20:54: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 4.44, 0.22) m/s
01:20:54: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 6.00, 0.20) m/s
01:20:55: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (1.82, 5.45, 0.18) m/s
01:20:55: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (3.33, 5.00, 0.17) m/s
01:20:56: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (4.62, 4.62, 0.15) m/s
01:20:56: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (4.29, 2.86, 0.14) m/s
01:20:57: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (4.00, 1.33, 0.13) m/s
01:20:57: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (3.75, 0.00, 0.12) m/s
01:20:58: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (2.35, 0.00, 0.12) m/s
01:20:58: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (1.11, 0.00, 0.11) m/s
01:20:59: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 0.11) m/s
01:20:59: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 1.00, 0.10) m/s
01:21:00: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 1.90, 0.10) m/s
01:21:00: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 2.73, 0.09) m/s
01:21:01: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.87, 2.61, 0.09) m/s
01:21:01: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (1.67, 2.50, 0.08) m/s
01:21:02: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (2.40, 2.40, 0.08) m/s
01:21:02: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (2.31, 1.54, 0.08) m/s
01:21:03: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (2.22, 0.74, 0.07) m/s
01:21:03: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (2.14, 0.00, 0.07) m/s
01:21:04: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (1.38, 0.00, 0.07) m/s
01:21:04: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.67, 0.00, 0.07) m/s
01:21:05: [INFO] [C:\Users\User\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 93] Average velocity: (0.00, 0.00, 0.06) m/s
