00:39:48: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 46] Logger initialized for Command Worker
00:39:48: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 59] Command object created successfully
00:39:48: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 29.00), yaw=0.00
00:39:48: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 80] Command output: CHANGE ALTITUDE: 1.00
00:39:49: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 31.00), yaw=0.00
00:39:49: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 80] Command output: CHANGE ALTITUDE: -1.00
00:39:49: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 30.20), yaw=1.11
00:39:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 29.80), yaw=1.11
00:39:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (0.0, 0.0, 7.45) m/s
00:39:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=1.11
00:39:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (0.0, 0.0, 6.0) m/s
00:39:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=1.14
00:39:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (0.0, 0.0, 5.0) m/s
00:39:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=1.07
00:39:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (0.0, 0.0, 4.285714285714286) m/s
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=0.00
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (0.0, 0.0, 3.75) m/s
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 80] Command output: CHANGE YAW: 63.43
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(10.00, 0.00, 30.00), yaw=0.00
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (1.1111111111111112, 0.0, 3.3333333333333335) m/s
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 80] Command output: CHANGE YAW: 90.00
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(20.00, 0.00, 30.00), yaw=0.00
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (2.0, 0.0, 3.0) m/s
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 80] Command output: CHANGE YAW: 116.57
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(30.00, 0.00, 30.00), yaw=1.57
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 90] Average velocity vector: (2.727272727272727, 0.0, 2.727272727272727) m/s
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 80] Command output: CHANGE YAW: 45.00
00:39:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 72] Received telemetry: pos=(30.00, 10.00, 30.00), yaw=1.57
