00:39:47: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
00:39:48: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 143] Connected!
00:39:48: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE ALTITUDE: 1.00
00:39:49: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE ALTITUDE: -1.00
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 63.43
00:39:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 90.00
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 116.57
00:39:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 45.00
00:39:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 63.43
00:39:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 90.00
00:39:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 26.57
00:39:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 86] Command Worker Output: CHANGE YAW: 45.00
