16:00:27: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | main | 45] Logger initialized
16:00:27: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 0
16:00:27: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 0
16:00:27: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 1
16:00:27: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 1
16:00:27: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
16:00:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
16:00:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
16:00:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
16:00:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
16:00:28: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
16:00:29: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
16:00:29: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
16:00:29: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
16:00:29: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
16:00:29: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
16:00:30: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
16:00:30: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 6
16:00:30: [INFO] [/home/pencilknot/Documents/Programming/WARG Autonomy Bootcamp/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 10
