14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 48] Logger initialized
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 59] Telemetry instance created
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 127] Received attitude
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 122] Received position
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 146] Created telemetry data
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 70] <bound method TelemetryData.__str__ of <modules.telemetry.telemetry.TelemetryData object at 0x000001BFB0779710>>
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 127] Received attitude
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 122] Received position
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 146] Created telemetry data
14:31:59: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 70] <bound method TelemetryData.__str__ of <modules.telemetry.telemetry.TelemetryData object at 0x000001BFB0779F90>>
14:32:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 127] Received attitude
14:32:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 127] Received attitude
14:32:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 122] Received position
14:32:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 146] Created telemetry data
14:32:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 70] <bound method TelemetryData.__str__ of <modules.telemetry.telemetry.TelemetryData object at 0x000001BFAD961D50>>
14:32:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 127] Received attitude
14:32:00: [INFO] [C:\Coding\WARG Autonomy\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run | 122] Received position
