00:35:27: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry_worker.py | telemetry_worker | 46] Logger initialized
00:35:27: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:27: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:28: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:28: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:29: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:29: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:30: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:30: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:31: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:31: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:32: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
00:35:33: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
00:35:34: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
00:35:35: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:35: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:36: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:36: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:37: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:37: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:38: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:38: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:39: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:39: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
00:35:40: [INFO] [C:\Users\vidst\Documents\Coding\WARG\Bootcamp\autonomy-bootcamp-2025-p2\modules\telemetry\telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
